Unnamed: 0,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
814,6546174,Supalai park ekkamai Thonglor BTS MRT Airport link,20883692,Sansanee,Huai Khwang,13.74384,100.58845,Private room,990,30,0,,0.0,1,365,0
816,6753043,"""1 Bed Serviced SkyVillas with view""",6132593,Salvatore,Sathon,13.72098,100.52866,Entire home/apt,3757,2,36,2022-10-20,0.45,7,109,5
823,6563738,Sukhumvit  @bts On-nut Bangkok,34335559,Hiranpruek,Khlong Toei,13.70509,100.59998,Entire home/apt,4000,1,0,,0.0,1,364,0
824,6768045,Teakwood red @ Steamy Location,1927968,Evan,Sathon,13.72062,100.54707,Entire home/apt,1086,1,253,2022-12-15,2.95,37,341,2
829,5840149,MERIT HOME,30322987,Sumrit,Huai Khwang,13.79033,100.58336,Private room,550,1,0,,0.0,1,365,0
833,6593282,Cozy 1 BR Apt in center near Lumphini Metro/PARK,15214203,Bee,Sathon,13.71957,100.54858,Entire home/apt,1500,28,28,2022-12-10,0.31,29,328,1
839,6788707,❂Citycenter☀Subway station☀Private Bathroom9Aircon,1927968,Evan,Sathon,13.72071,100.54712,Entire home/apt,1200,1,218,2022-12-14,2.55,37,345,2
840,6789012,❂Explore Bangkok Perfect Central Spot MRT Lumpini7,1927968,Evan,Sathon,13.72067,100.54714,Entire home/apt,1343,1,325,2022-11-27,3.63,37,354,1
841,6791771,Super Classy @ Thonglor 4,35549685,Surachai,Vadhana,13.73487,100.58278,Entire home/apt,3000,30,1,2017-04-12,0.01,1,90,0
842,6802195,Greenview Ekkamai10 (One Bedroom Deluxe Suite),34958023,Greenview,Vadhana,13.71968,100.58628,Private room,1200,1,3,2015-11-16,0.03,4,90,0
844,6610084,Penthouse Apartment Near MRT Subway,1416261,Laong & Larry,Huai Khwang,13.76774,100.58609,Entire home/apt,972,1,1,2017-12-03,0.02,1,84,0
848,6802330,Greenview Ekkamai10 (One Bedroom Deluxe Suite),34958023,Greenview,Khlong Toei,13.71955,100.58532,Private room,1200,1,1,2015-07-21,0.01,4,90,0
851,6630855,Stunning View Luxury/Infinity pool/AirportPickup/,32275692,Nate,Vadhana,13.74506,100.56394,Entire home/apt,2600,3,121,2022-10-14,1.32,1,174,4
852,6639879,Supalai premier place asok,24897510,Aor,Vadhana,13.74658,100.56379,Private room,2357,1,0,,0.0,1,365,0
854,5889527,Fully Furnished Condo for rent,30584765,Be,Vadhana,13.73567,100.58485,Private room,2000,6,0,,0.0,1,364,0
873,5922131,"Baan Nornlen Residence,  2 Bedroom No. 401",7825375,Sutasinee,Sathon,13.71797,100.53023,Entire home/apt,2800,2,34,2022-11-27,0.68,9,140,6
